"Gene","Control","Control_2","Treatment","Treatment_2","Control_Mean","Treatment_Mean","Fold_Change","Log2_Fold_Change","Regulation"
"GeneA",12,14,25,27,13,26,2,1,"Upregulated"
"GeneB",8,9,7,8,8.5,7.5,0.882352941176471,-0.180572245641821,"No major change"
"GeneC",35,32,60,65,33.5,62.5,1.86567164179104,0.899695094204315,"No major change"
"GeneD",20,22,18,19,21,18.5,0.880952380952381,-0.182864057149811,"No major change"
"GeneE",5,6,15,17,5.5,16,2.90909090909091,1.5405683813627,"Upregulated"
"GeneF",40,42,38,39,41,38.5,0.939024390243902,-0.0907654639231824,"No major change"
"GeneG",10,12,30,32,11,31,2.81818181818182,1.49476469174958,"Upregulated"
"GeneH",25,27,24,26,26,25,0.961538461538462,-0.0565835283663674,"No major change"
"GeneI",6,7,3,4,6.5,3.5,0.538461538461538,-0.893084796083488,"No major change"
"GeneJ",50,48,80,85,49,82.5,1.68367346938776,0.751612370130608,"No major change"
